Movies,Domestic,International,Worldwild,Distributor,Opening,Budget,Release_Date,MPAA,Runing_Time,Genres
Dear John,"$80,014,842","$34,969,824","$114,984,666",Screen Gems,"$30,468,614","$25,000,000","Feb 5, 2010",PG-13,1 hr 48 min,"Drama
    
        Mystery
    
        Romance
    
        Thriller
    
        War"
Eat Pray Love,"$80,574,010","$124,020,006","$204,594,016",Sony Pictures Entertainment (SPE),"$23,104,523","$60,000,000","Aug 13, 2010",PG-13,2 hr 13 min,"Biography
    
        Drama
    
        Romance"
Avatar,"$749,766,139","$1,993,811,448","$2,743,577,587",Twentieth Century Fox,"$77,025,481","$237,000,000","Dec 18, 2009",PG-13,2 hr 42 min,"Action
    
        Adventure
    
        Fantasy
    
        Sci-Fi"
The Circle,"$20,497,844","$20,158,555","$40,656,399",STX Entertainment,"$9,034,148","$18,000,000","Apr 28, 2017",PG-13,1 hr 50 min,"Drama
    
        Sci-Fi
    
        Thriller"
Little Fockers,"$148,438,600","$162,211,985","$310,650,585",Universal Pictures,"$30,833,665","$100,000,000","Dec 22, 2010",PG-13,1 hr 38 min,"Comedy
    
        Romance"
Paranormal Activity 2,"$84,752,907","$92,759,125","$177,512,032",Paramount Pictures,"$40,678,424","$3,000,000","Oct 22, 2010",R,1 hr 31 min,"Horror
    
        Mystery"
The Chronicles of Narnia: The Voyage of the Dawn Treader,"$104,386,950","$311,299,267","$415,686,217",Twentieth Century Fox,"$24,005,069","$155,000,000","Dec 10, 2010",PG,1 hr 53 min,"Adventure
    
        Family
    
        Fantasy"
Percy Jackson & the Olympians: The Lightning Thief,"$88,768,303","$137,728,906","$226,497,209",Twentieth Century Fox,"$31,236,067","$95,000,000","Feb 12, 2010",PG,1 hr 58 min,"Adventure
    
        Family
    
        Fantasy"
Jack and Jill,"$74,158,157","$75,515,631","$149,673,788",Sony Pictures Entertainment (SPE),"$25,003,575","$79,000,000","Nov 11, 2011",PG,1 hr 31 min,Comedy
Ender's Game,"$61,737,191","$63,806,833","$125,544,024",Lionsgate,"$27,017,351","$110,000,000","Nov 1, 2013",PG-13,1 hr 54 min,"Action
    
        Adventure
    
        Sci-Fi"
21 Bridges,"$28,539,757","$21,400,000","$49,939,757",STX Entertainment,"$9,261,268","$33,000,000","Nov 22, 2019",R,1 hr 39 min,"Action
    
        Thriller"
Unbroken,"$115,637,895","$45,821,402","$161,459,297",Universal Pictures,"$30,621,445","$65,000,000","Dec 25, 2014",PG-13,2 hr 17 min,"Action
    
        Biography
    
        Drama
    
        Sport
    
        War"
The Host,"$26,627,201","$36,738,658","$63,365,859",Open Road Films (II),"$10,600,112","$40,000,000","Mar 29, 2013",PG-13,2 hr 5 min,"Action
    
        Adventure
    
        Drama
    
        Romance
    
        Sci-Fi
    
        Thriller"
Argo,"$136,025,503","$96,300,000","$232,325,503",Warner Bros.,"$19,458,109","$44,500,000","Oct 12, 2012",R,2 hr,"Biography
    
        Drama
    
        Thriller"
Under the Skin,"$2,614,251","$3,121,712","$5,735,963",A24,"$133,154","$13,300,000","Apr 4, 2014",R,1 hr 48 min,"Drama
    
        Horror
    
        Mystery
    
        Sci-Fi
    
        Thriller"
Cloudy with a Chance of Meatballs 2,"$119,793,567","$154,532,382","$274,325,949",Sony Pictures Entertainment (SPE),"$34,017,930","$78,000,000","Sep 27, 2013",PG,1 hr 35 min,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy
    
        Sci-Fi"
Veronica Mars,"$3,322,127","$163,256","$3,485,383",Warner Bros.,"$1,988,351","$6,000,000","Mar 14, 2014",PG-13,1 hr 47 min,"Crime
    
        Drama
    
        Mystery
    
        Thriller"
Thor: The Dark World,"$206,362,140","$438,421,000","$644,783,140",Walt Disney Studios Motion Pictures,"$85,737,841","$170,000,000","Nov 8, 2013",PG-13,1 hr 52 min,"Action
    
        Adventure
    
        Fantasy"
Whiplash,"$13,092,000","$35,890,041","$48,982,041",Sony Pictures Classics,"$135,388","$3,300,000","Oct 10, 2014",R,1 hr 46 min,"Drama
    
        Music"
Legends of Oz: Dorothy's Return,"$8,462,347","$13,293,071","$21,755,418",Clarius Entertainment,"$3,747,780","$70,000,000","May 9, 2014",PG,1 hr 28 min,"Adventure
    
        Animation
    
        Family
    
        Fantasy
    
        Musical"
Moms' Night Out,"$10,429,707","$107,249","$10,536,956",TriStar Pictures,"$4,311,083","$5,000,000","May 9, 2014",PG,1 hr 38 min,Comedy
